contract,underlying,expiration,type,strike,style,bid,bid_size,ask,ask_size,volume,open_interest,quote_date,delta,gamma,theta,vega,implied_volatility,mid,T,r
A130216C00028000,A,2013-02-16,call,28.0,A,13.0,,14.1,,0,0,2013-01-02,0.9999,0.0001,-0.0914,0.0051,0.3129,13.55,0.1232876712328767,0.1
A130216C00029000,A,2013-02-16,call,29.0,A,11.95,,13.25,,0,0,2013-01-02,0.9997,0.0002,-0.1088,0.0162,0.3129,12.6,0.1232876712328767,0.1
A130216C00030000,A,2013-02-16,call,30.0,A,11.1,,12.15,,0,3,2013-01-02,0.9991,0.0007,-0.1489,0.0451,0.3129,11.625,0.1232876712328767,0.1
A130216C00031000,A,2013-02-16,call,31.0,A,10.05,,11.25,,0,4,2013-01-02,0.9976,0.0017,-0.2356,0.1103,0.3129,10.65,0.1232876712328767,0.1
A130216C00032000,A,2013-02-16,call,32.0,A,9.1,,10.25,,0,1,2013-01-02,0.9942,0.0036,-0.4053,0.2401,0.3129,9.675,0.1232876712328767,0.1
A130216C00033000,A,2013-02-16,call,33.0,A,8.15,,9.05,,0,0,2013-01-02,0.9876,0.0071,-0.7043,0.4704,0.3129,8.600000000000001,0.1232876712328767,0.1
A130216C00034000,A,2013-02-16,call,34.0,A,7.0,,8.95,,0,0,2013-01-02,0.9755,0.0126,-1.1783,0.8374,0.3129,7.975,0.1232876712328767,0.1
A130216C00035000,A,2013-02-16,call,35.0,A,6.3,,8.1,,0,115,2013-01-02,0.9558,0.0205,-1.8575,1.3644,0.3129,7.199999999999999,0.1232876712328767,0.1
A130216C00036000,A,2013-02-16,call,36.0,A,5.95,,6.2,,0,114,2013-01-02,0.9258,0.0307,-2.7385,2.0492,0.3129,6.075,0.1232876712328767,0.1
A130216C00037000,A,2013-02-16,call,37.0,A,5.15,,5.25,,58,733,2013-01-02,0.8761,0.0432,-4.0808,2.9853,0.3242,5.2,0.1232876712328767,0.1
A130216C00038000,A,2013-02-16,call,38.0,A,4.25,,4.4,,0,1157,2013-01-02,0.8309,0.0558,-4.786,3.6805,0.3098,4.325,0.1232876712328767,0.1
A130216C00039000,A,2013-02-16,call,39.0,A,3.45,,3.55,,23150,20508,2013-01-02,0.7711,0.0697,-5.5,4.4198,0.2975,3.5,0.1232876712328767,0.1
A130216C00040000,A,2013-02-16,call,40.0,A,2.69,,2.75,,2,2062,2013-01-02,0.6992,0.0849,-5.9539,5.0812,0.2808,2.7199999999999998,0.1232876712328767,0.1
A130216C00041000,A,2013-02-16,call,41.0,A,2.01,,2.06,,17,1032,2013-01-02,0.6092,0.0979,-6.2661,5.6028,0.2686,2.035,0.1232876712328767,0.1
A130216C00042000,A,2013-02-16,call,42.0,A,1.45,,1.47,,300,1126,2013-01-02,0.507,0.1054,-6.2767,5.8219,0.2594,1.46,0.1232876712328767,0.1
A130216C00043000,A,2013-02-16,call,43.0,A,0.96,,0.98,,8324,5784,2013-01-02,0.3977,0.107,-5.7699,5.6302,0.2469,0.97,0.1232876712328767,0.1
A130216C00044000,A,2013-02-16,call,44.0,A,0.59,,0.61,,136,15171,2013-01-02,0.2898,0.0992,-4.8933,4.9945,0.2363,0.6,0.1232876712328767,0.1
A130216C00045000,A,2013-02-16,call,45.0,A,0.34,,0.36,,621,175,2013-01-02,0.1959,0.0828,-3.8267,4.0359,0.2289,0.35,0.1232876712328767,0.1
A130216C00046000,A,2013-02-16,call,46.0,A,0.18,,0.2,,0,107,2013-01-02,0.1225,0.0623,-2.7366,2.9622,0.2232,0.19,0.1232876712328767,0.1
A130216C00047000,A,2013-02-16,call,47.0,A,0.09,,0.11,,0,85,2013-01-02,0.072,0.0427,-1.8222,2.0023,0.22,0.1,0.1232876712328767,0.1
A130216C00048000,A,2013-02-16,call,48.0,A,0.03,,0.06,,0,120,2013-01-02,0.0363,0.0256,-1.0235,1.1621,0.213,0.045,0.1232876712328767,0.1
A130216C00049000,A,2013-02-16,call,49.0,A,0.01,,0.04,,0,209,2013-01-02,0.0195,0.0152,-0.6117,0.6919,0.2139,0.025,0.1232876712328767,0.1
A130216C00050000,A,2013-02-16,call,50.0,A,0.0,,0.04,,0,110,2013-01-02,0.0098,0.0084,-0.3369,0.3812,0.2139,0.02,0.1232876712328767,0.1
A130216C00055000,A,2013-02-16,call,55.0,A,0.0,,0.02,,0,10,2013-01-02,0.0002,0.0002,-0.0075,0.0085,0.2139,0.01,0.1232876712328767,0.1
A130216C00060000,A,2013-02-16,call,60.0,A,0.0,,0.02,,0,2,2013-01-02,0.0,0.0,-0.0001,0.0001,0.2139,0.01,0.1232876712328767,0.1
A130518C00018000,A,2013-05-18,call,18.0,A,21.55,,25.6,,0,0,2013-01-02,0.9968,0.0001,0.279,0.019,0.4045,23.575000000000003,0.3726027397260274,0.1
A130518C00019000,A,2013-05-18,call,19.0,A,21.35,,24.4,,0,0,2013-01-02,0.9965,0.0002,0.2642,0.0404,0.4045,22.875,0.3726027397260274,0.1
A130518C00020000,A,2013-05-18,call,20.0,A,20.7,,23.4,,0,0,2013-01-02,0.996,0.0002,0.24,0.079,0.4045,22.049999999999997,0.3726027397260274,0.1
A130518C00021000,A,2013-05-18,call,21.0,A,19.35,,22.05,,0,0,2013-01-02,0.9952,0.0005,0.2016,0.1437,0.4045,20.700000000000003,0.3726027397260274,0.1
A130518C00022000,A,2013-05-18,call,22.0,A,18.7,,21.05,,0,0,2013-01-02,0.9938,0.0009,0.1431,0.2449,0.4045,19.875,0.3726027397260274,0.1
A130518C00023000,A,2013-05-18,call,23.0,A,17.7,,20.05,,0,0,2013-01-02,0.9916,0.0015,0.0581,0.3943,0.4045,18.875,0.3726027397260274,0.1
A130518C00024000,A,2013-05-18,call,24.0,A,16.9,,19.0,,0,0,2013-01-02,0.9882,0.0023,-0.0597,0.6032,0.4045,17.95,0.3726027397260274,0.1
A130518C00025000,A,2013-05-18,call,25.0,A,16.05,,18.0,,0,0,2013-01-02,0.9834,0.0034,-0.2158,0.8822,0.4045,17.025,0.3726027397260274,0.1
A130518C00026000,A,2013-05-18,call,26.0,A,15.1,,17.0,,0,0,2013-01-02,0.9769,0.0047,-0.4145,1.2385,0.4045,16.05,0.3726027397260274,0.1
A130518C00027000,A,2013-05-18,call,27.0,A,14.15,,16.05,,0,0,2013-01-02,0.9682,0.0064,-0.658,1.676,0.4045,15.100000000000001,0.3726027397260274,0.1
A130518C00028000,A,2013-05-18,call,28.0,A,13.15,,14.4,,0,0,2013-01-02,0.957,0.0083,-0.9457,2.1939,0.4045,13.775,0.3726027397260274,0.1
A130518C00029000,A,2013-05-18,call,29.0,A,12.2,,13.45,,0,0,2013-01-02,0.9479,0.0102,-1.1192,2.5867,0.3914,12.825,0.3726027397260274,0.1
A130518C00030000,A,2013-05-18,call,30.0,A,11.25,,12.5,,0,3,2013-01-02,0.9369,0.0123,-1.311,3.0371,0.3789,11.875,0.3726027397260274,0.1
A130518C00031000,A,2013-05-18,call,31.0,A,10.15,,12.2,,0,0,2013-01-02,0.9236,0.0149,-1.5199,3.5471,0.3669,11.175,0.3726027397260274,0.1
A130518C00032000,A,2013-05-18,call,32.0,A,9.25,,10.6,,0,1,2013-01-02,0.9075,0.0178,-1.7463,4.1199,0.3555,9.925,0.3726027397260274,0.1
A130518C00033000,A,2013-05-18,call,33.0,A,8.65,,9.65,,0,38,2013-01-02,0.8882,0.0212,-1.9864,4.7521,0.3446,9.15,0.3726027397260274,0.1
A130518C00034000,A,2013-05-18,call,34.0,A,8.05,,8.6,,0,0,2013-01-02,0.8782,0.0248,-1.9188,5.0607,0.3129,8.325,0.3726027397260274,0.1
A130518C00035000,A,2013-05-18,call,35.0,A,7.55,,7.75,,0,0,2013-01-02,0.8289,0.0289,-2.734,6.3982,0.3405,7.65,0.3726027397260274,0.1
A130518C00036000,A,2013-05-18,call,36.0,A,6.7,,6.9,,0,162,2013-01-02,0.7999,0.0333,-2.9194,7.067,0.3268,6.800000000000001,0.3726027397260274,0.1
A130518C00037000,A,2013-05-18,call,37.0,A,5.95,,6.1,,4,403,2013-01-02,0.7632,0.0376,-3.1759,7.8023,0.3194,6.025,0.3726027397260274,0.1
A130518C00038000,A,2013-05-18,call,38.0,A,5.2,,5.3,,0,102,2013-01-02,0.7241,0.0422,-3.3424,8.4629,0.3081,5.25,0.3726027397260274,0.1
A130518C00039000,A,2013-05-18,call,39.0,A,4.5,,4.6,,5,180,2013-01-02,0.6787,0.0463,-3.5235,9.0823,0.3009,4.55,0.3726027397260274,0.1
A130518C00040000,A,2013-05-18,call,40.0,A,3.85,,3.95,,0,300,2013-01-02,0.6293,0.0501,-3.6537,9.5884,0.294,3.9000000000000004,0.3726027397260274,0.1
A130518C00041000,A,2013-05-18,call,41.0,A,3.2,,3.35,,4,315,2013-01-02,0.5767,0.0537,-3.6854,9.9456,0.2849,3.2750000000000004,0.3726027397260274,0.1
A130518C00042000,A,2013-05-18,call,42.0,A,2.69,,2.76,,0,653,2013-01-02,0.5209,0.056,-3.6758,10.1264,0.2781,2.7249999999999996,0.3726027397260274,0.1
A130518C00043000,A,2013-05-18,call,43.0,A,2.2,,2.26,,0,97,2013-01-02,0.4633,0.0572,-3.5911,10.1028,0.2715,2.23,0.3726027397260274,0.1
A130518C00044000,A,2013-05-18,call,44.0,A,1.77,,1.83,,0,104,2013-01-02,0.4054,0.0571,-3.4417,9.8637,0.2658,1.8,0.3726027397260274,0.1
A130518C00045000,A,2013-05-18,call,45.0,A,1.4,,1.45,,96,327,2013-01-02,0.3483,0.0557,-3.218,9.4103,0.2599,1.4249999999999998,0.3726027397260274,0.1
A130518C00046000,A,2013-05-18,call,46.0,A,1.09,,1.14,,13,41,2013-01-02,0.294,0.0529,-2.9501,8.772,0.2551,1.115,0.3726027397260274,0.1
A130518C00047000,A,2013-05-18,call,47.0,A,0.84,,0.88,,45,68,2013-01-02,0.2442,0.0489,-2.65,7.991,0.2511,0.86,0.3726027397260274,0.1
A130518C00048000,A,2013-05-18,call,48.0,A,0.63,,0.67,,0,159,2013-01-02,0.1995,0.0442,-2.3337,7.1197,0.2478,0.65,0.3726027397260274,0.1
A130518C00049000,A,2013-05-18,call,49.0,A,0.47,,0.5,,0,4,2013-01-02,0.1587,0.0388,-1.9883,6.165,0.2435,0.485,0.3726027397260274,0.1
A130518C00050000,A,2013-05-18,call,50.0,A,0.34,,0.37,,0,3,2013-01-02,0.1245,0.0335,-1.6661,5.2286,0.2403,0.355,0.3726027397260274,0.1
A130518C00055000,A,2013-05-18,call,55.0,A,0.06,,0.1,,0,5,2013-01-02,0.0345,0.0126,-0.6192,1.9485,0.2386,0.08,0.3726027397260274,0.1
A130518C00060000,A,2013-05-18,call,60.0,A,0.0,,0.04,,0,0,2013-01-02,0.0115,0.0047,-0.2603,0.7708,0.2529,0.02,0.3726027397260274,0.1
A130817C00021000,A,2013-08-17,call,21.0,A,20.15,,22.4,,0,0,2013-01-02,0.9928,0.0008,0.1329,0.3083,0.3352,21.275,0.6219178082191781,0.1
A130817C00022000,A,2013-08-17,call,22.0,A,19.1,,21.0,,0,0,2013-01-02,0.9907,0.0013,0.08,0.4918,0.3352,20.05,0.6219178082191781,0.1
A130817C00023000,A,2013-08-17,call,23.0,A,17.5,,20.05,,0,0,2013-01-02,0.9875,0.002,0.0077,0.7465,0.3352,18.775,0.6219178082191781,0.1
A130817C00024000,A,2013-08-17,call,24.0,A,17.15,,18.45,,0,0,2013-01-02,0.9831,0.003,-0.0871,1.0839,0.3352,17.799999999999997,0.6219178082191781,0.1
A130817C00025000,A,2013-08-17,call,25.0,A,16.3,,18.15,,0,0,2013-01-02,0.9771,0.0041,-0.2069,1.5127,0.3352,17.225,0.6219178082191781,0.1
A130817C00026000,A,2013-08-17,call,26.0,A,15.15,,17.2,,0,0,2013-01-02,0.9691,0.0056,-0.3528,2.0372,0.3352,16.175,0.6219178082191781,0.1
A130817C00027000,A,2013-08-17,call,27.0,A,14.3,,15.6,,0,0,2013-01-02,0.959,0.0073,-0.5248,2.657,0.3352,14.95,0.6219178082191781,0.1
